medal_type,medal_code,medal_date,athlete_name,event,country,discipline
Gold Medal,1,00:00.0,SHIELDS Tom,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,00:00.0,PIERONI Blake,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,00:00.0,ANDREW Michael,Men's 4 x 100m Medley Relay,United States of America,Swimming
Gold Medal,1,00:00.0,MURPHY Ryan,Men's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,00:00.0,WILBY James,Men's 4 x 100m Medley Relay,Great Britain,Swimming
Silver Medal,2,00:00.0,SCOTT Duncan,Men's 4 x 100m Medley Relay,Great Britain,Swimming
Silver Medal,2,00:00.0,GREENBANK Luke,Men's 4 x 100m Medley Relay,Great Britain,Swimming
Silver Medal,2,00:00.0,GUY James,Men's 4 x 100m Medley Relay,Great Britain,Swimming
Silver Medal,2,00:00.0,PEATY Adam,Men's 4 x 100m Medley Relay,Great Britain,Swimming
Bronze Medal,3,00:00.0,MIRESSI Alessandro,Men's 4 x 100m Medley Relay,Italy,Swimming
Bronze Medal,3,00:00.0,MARTINENGHI Nicolo,Men's 4 x 100m Medley Relay,Italy,Swimming
Bronze Medal,3,00:00.0,CECCON Thomas,Men's 4 x 100m Medley Relay,Italy,Swimming
Bronze Medal,3,00:00.0,BURDISSO Federico,Men's 4 x 100m Medley Relay,Italy,Swimming
Gold Medal,1,00:00.0,DRESSEL Caeleb,Men's 50m Freestyle,United States of America,Swimming
Silver Medal,2,00:00.0,MANAUDOU Florent,Men's 50m Freestyle,France,Swimming
Bronze Medal,3,00:00.0,FRATUS Bruno,Men's 50m Freestyle,Brazil,Swimming
Gold Medal,1,00:00.0,O'CALLAGHAN Mollie,Women's 4 x 100m Medley Relay,Australia,Swimming
Gold Medal,1,00:00.0,THROSSELL Brianna,Women's 4 x 100m Medley Relay,Australia,Swimming
Gold Medal,1,00:00.0,SEEBOHM Emily,Women's 4 x 100m Medley Relay,Australia,Swimming
Gold Medal,1,00:00.0,HODGES Chelsea,Women's 4 x 100m Medley Relay,Australia,Swimming
Gold Medal,1,00:00.0,McKEON Emma,Women's 4 x 100m Medley Relay,Australia,Swimming
Gold Medal,1,00:00.0,CAMPBELL Cate,Women's 4 x 100m Medley Relay,Australia,Swimming
Gold Medal,1,00:00.0,McKEOWN Kaylee,Women's 4 x 100m Medley Relay,Australia,Swimming
Silver Medal,2,00:00.0,SMITH Regan,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,00:00.0,KING Lilly,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,00:00.0,HUSKE Torri,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,00:00.0,CURZAN Claire,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,00:00.0,WEITZEIL Abbey,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,00:00.0,BROWN Erika,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,00:00.0,JACOBY Lydia,Women's 4 x 100m Medley Relay,United States of America,Swimming
Silver Medal,2,00:00.0,WHITE Rhyan Elizabeth,Women's 4 x 100m Medley Relay,United States of America,Swimming
Bronze Medal,3,00:00.0,RUCK Taylor,Women's 4 x 100m Medley Relay,Canada,Swimming
Bronze Medal,3,00:00.0,MACNEIL Margaret,Women's 4 x 100m Medley Relay,Canada,Swimming
Bronze Medal,3,00:00.0,SANCHEZ Kayla,Women's 4 x 100m Medley Relay,Canada,Swimming
Bronze Medal,3,00:00.0,MASSE Kylie,Women's 4 x 100m Medley Relay,Canada,Swimming
Bronze Medal,3,00:00.0,PICKREM Sydney,Women's 4 x 100m Medley Relay,Canada,Swimming
Bronze Medal,3,00:00.0,OLEKSIAK Penny,Women's 4 x 100m Medley Relay,Canada,Swimming
Gold Medal,1,00:00.0,McKEON Emma,Women's 50m Freestyle,Australia,Swimming
Silver Medal,2,00:00.0,SJOESTROEM Sarah,Women's 50m Freestyle,Sweden,Swimming
Bronze Medal,3,00:00.0,BLUME Pernille,Women's 50m Freestyle,Denmark,Swimming
Gold Medal,1,00:00.0,ZVEREV Alexander,Men's Singles,Germany,Tennis
Silver Medal,2,00:00.0,KHACHANOV Karen,Men's Singles,ROC,Tennis
Gold Medal,1,00:00.0,RUBLEV Andrey,Mixed Doubles,ROC,Tennis
Gold Medal,1,00:00.0,PAVLYUCHENKOVA Anastasia,Mixed Doubles,ROC,Tennis
Silver Medal,2,00:00.0,KARATSEV Aslan,Mixed Doubles,ROC,Tennis
Silver Medal,2,00:00.0,VESNINA Elena,Mixed Doubles,ROC,Tennis
Gold Medal,1,00:00.0,KREJCIKOVA Barbora,Women's Doubles,Czech Republic,Tennis
Gold Medal,1,00:00.0,SINIAKOVA Katerina,Women's Doubles,Czech Republic,Tennis
Silver Medal,2,00:00.0,BENCIC Belinda,Women's Doubles,Switzerland,Tennis
Silver Medal,2,00:00.0,GOLUBIC Viktorija,Women's Doubles,Switzerland,Tennis
Gold Medal,1,00:00.0,DAJOMES BARRERA Neisi Patricia,Women's 76kg,Ecuador,Weightlifting
Silver Medal,2,00:00.0,NYE Katherine Elizabeth,Women's 76kg,United States of America,Weightlifting
Bronze Medal,3,00:00.0,FUENTES ZAVALA Aremi,Women's 76kg,Mexico,Weightlifting
Gold Medal,1,00:00.0,LIU Yang,Men's Rings,People's Republic of China,Artistic Gymnastics
Silver Medal,2,00:00.0,YOU Hao,Men's Rings,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,00:00.0,PETROUNIAS Eleftherios,Men's Rings,Greece,Artistic Gymnastics
Gold Medal,1,00:00.0,SHIN Jeahwan,Men's Vault,Republic of Korea,Artistic Gymnastics
Silver Medal,2,00:00.0,ABLIAZIN Denis,Men's Vault,ROC,Artistic Gymnastics
Bronze Medal,3,00:00.0,DAVTYAN Artur,Men's Vault,Armenia,Artistic Gymnastics
Gold Medal,1,00:00.0,CAREY Jade,Women's Floor Exercise,United States of America,Artistic Gymnastics
Silver Medal,2,00:00.0,FERRARI Vanessa,Women's Floor Exercise,Italy,Artistic Gymnastics
Bronze Medal,3,00:00.0,MURAKAMI Mai,Women's Floor Exercise,Japan,Artistic Gymnastics
Bronze Medal,3,00:00.0,MELNIKOVA Angelina,Women's Floor Exercise,ROC,Artistic Gymnastics
Gold Medal,1,00:00.0,EL BAKKALI Soufiane,Men's 3000m Steeplechase,Morocco,Athletics
Silver Medal,2,00:00.0,GIRMA Lamecha,Men's 3000m Steeplechase,Ethiopia,Athletics
Bronze Medal,3,00:00.0,KIGEN Benjamin,Men's 3000m Steeplechase,Kenya,Athletics
Gold Medal,1,00:00.0,TENTOGLOU Miltiadis,Men's Long Jump,Greece,Athletics
Silver Medal,2,00:00.0,ECHEVARRIA Juan Miguel,Men's Long Jump,Cuba,Athletics
Bronze Medal,3,00:00.0,MASSO Maykel,Men's Long Jump,Cuba,Athletics
Gold Medal,1,00:00.0,CAMACHO-QUINN Jasmine,Women's 100m Hurdles,Puerto Rico,Athletics
Silver Medal,2,00:00.0,HARRISON Kendra,Women's 100m Hurdles,United States of America,Athletics
Bronze Medal,3,00:00.0,TAPPER Megan,Women's 100m Hurdles,Jamaica,Athletics
Gold Medal,1,00:00.0,HASSAN Sifan,Women's 5000m,Netherlands,Athletics
Silver Medal,2,00:00.0,OBIRI Hellen,Women's 5000m,Kenya,Athletics
Bronze Medal,3,00:00.0,TSEGAY Gudaf,Women's 5000m,Ethiopia,Athletics
Gold Medal,1,00:00.0,ALLMAN Valarie,Women's Discus Throw,United States of America,Athletics
Silver Medal,2,00:00.0,PUDENZ Kristin,Women's Discus Throw,Germany,Athletics
Bronze Medal,3,00:00.0,PEREZ Yaime,Women's Discus Throw,Cuba,Athletics
Gold Medal,1,00:00.0,AXELSEN Viktor,Men's Singles,Denmark,Badminton
Silver Medal,2,00:00.0,CHEN Long,Men's Singles,People's Republic of China,Badminton
Bronze Medal,3,00:00.0,GINTING Anthony Sinisuka,Men's Singles,Indonesia,Badminton
Gold Medal,1,00:00.0,Greysia POLII,Women's Doubles,Indonesia,Badminton
Gold Medal,1,00:00.0,RAHAYU Apriyani,Women's Doubles,Indonesia,Badminton
Silver Medal,2,00:00.0,CHEN Qing Chen,Women's Doubles,People's Republic of China,Badminton
Silver Medal,2,00:00.0,JIA Yi Fan,Women's Doubles,People's Republic of China,Badminton
Bronze Medal,3,00:00.0,KIM Soyeong,Women's Doubles,Republic of Korea,Badminton
Bronze Medal,3,00:00.0,KONG Heeyong,Women's Doubles,Republic of Korea,Badminton
Gold Medal,1,00:00.0,ZHONG Tianshi,Women's Team Sprint,People's Republic of China,Cycling Track
Gold Medal,1,00:00.0,BAO Shanju,Women's Team Sprint,People's Republic of China,Cycling Track
Silver Medal,2,00:00.0,HINZE Emma,Women's Team Sprint,Germany,Cycling Track
Silver Medal,2,00:00.0,FRIEDRICH Lea Sophie,Women's Team Sprint,Germany,Cycling Track
Bronze Medal,3,00:00.0,VOINOVA Anastasiia,Women's Team Sprint,ROC,Cycling Track
Bronze Medal,3,00:00.0,SHMELEVA Daria,Women's Team Sprint,ROC,Cycling Track
Gold Medal,1,00:00.0,KRAJEWSKI Julia,Eventing Individual,Germany,Equestrian
Silver Medal,2,00:00.0,McEWEN Tom,Eventing Individual,Great Britain,Equestrian
Bronze Medal,3,00:00.0,HOY Andrew,Eventing Individual,Australia,Equestrian
Gold Medal,1,00:00.0,McEWEN Tom,Eventing Team,Great Britain,Equestrian
Gold Medal,1,00:00.0,TOWNEND Oliver,Eventing Team,Great Britain,Equestrian
Gold Medal,1,00:00.0,COLLETT Laura,Eventing Team,Great Britain,Equestrian
Silver Medal,2,00:00.0,ROSE Shane,Eventing Team,Australia,Equestrian
Silver Medal,2,00:00.0,McNAB Kevin,Eventing Team,Australia,Equestrian
Silver Medal,2,00:00.0,HOY Andrew,Eventing Team,Australia,Equestrian
Bronze Medal,3,00:00.0,LAGHOUAG Karim Florent,Eventing Team,France,Equestrian
Bronze Medal,3,00:00.0,SIX Christopher,Eventing Team,France,Equestrian
Bronze Medal,3,00:00.0,TOUZAINT Nicolas,Eventing Team,France,Equestrian
Gold Medal,1,00:00.0,QUIQUAMPOIX Jean,25m Rapid Fire Pistol Men,France,Shooting
Silver Medal,2,00:00.0,PUPO Leuris,25m Rapid Fire Pistol Men,Cuba,Shooting
Bronze Medal,3,00:00.0,LI Yuehong,25m Rapid Fire Pistol Men,People's Republic of China,Shooting
Gold Medal,1,00:00.0,ZHANG Changhong,50m Rifle 3 Positions Men,People's Republic of China,Shooting
Silver Medal,2,00:00.0,KAMENSKIY Sergey,50m Rifle 3 Positions Men,ROC,Shooting
Bronze Medal,3,00:00.0,SEBIC Milenko,50m Rifle 3 Positions Men,Serbia,Shooting
Gold Medal,1,00:00.0,LI Wenwen,Women's +87kg,People's Republic of China,Weightlifting
Silver Medal,2,00:00.0,CAMPBELL Emily Jade,Women's +87kg,Great Britain,Weightlifting
Bronze Medal,3,00:00.0,ROBLES Sarah Elizabeth,Women's +87kg,United States of America,Weightlifting
Gold Medal,1,00:00.0,WANG Zhouyu,Women's 87kg,People's Republic of China,Weightlifting
Silver Medal,2,00:00.0,SALAZAR ARCE Tamara Yajaira,Women's 87kg,Ecuador,Weightlifting
Bronze Medal,3,00:00.0,SANTANA PEGUERO Crismery Dominga,Women's 87kg,Dominican Republic,Weightlifting
Gold Medal,1,00:00.0,LOPEZ NUNEZ Mijain,Men's Greco-Roman 130kg,Cuba,Wrestling
Silver Medal,2,00:00.0,KAJAIA Iakobi,Men's Greco-Roman 130kg,Georgia,Wrestling
Bronze Medal,3,00:00.0,KAYAALP Riza,Men's Greco-Roman 130kg,Turkey,Wrestling
Bronze Medal,3,00:00.0,SEMENOV Sergei,Men's Greco-Roman 130kg,ROC,Wrestling
Gold Medal,1,00:00.0,ORTA SANCHEZ Luis Alberto,Men's Greco-Roman 60kg,Cuba,Wrestling
Silver Medal,2,00:00.0,FUMITA Kenichiro,Men's Greco-Roman 60kg,Japan,Wrestling
Bronze Medal,3,00:00.0,EMELIN Sergey,Men's Greco-Roman 60kg,ROC,Wrestling
Bronze Medal,3,00:00.0,WALIHAN Sailike,Men's Greco-Roman 60kg,People's Republic of China,Wrestling
Gold Medal,1,00:00.0,ROTTER FOCKEN Aline,Women's Freestyle 76kg,Germany,Wrestling
Silver Medal,2,00:00.0,GRAY Adeline Maria,Women's Freestyle 76kg,United States of America,Wrestling
Bronze Medal,3,00:00.0,ADAR Yasemin,Women's Freestyle 76kg,Turkey,Wrestling
Bronze Medal,3,00:00.0,ZHOU Qian,Women's Freestyle 76kg,People's Republic of China,Wrestling
Gold Medal,1,00:00.0,HASHIMOTO Daiki,Men's Horizontal Bar,Japan,Artistic Gymnastics
Silver Medal,2,00:00.0,SRBIC Tin,Men's Horizontal Bar,Croatia,Artistic Gymnastics
Bronze Medal,3,00:00.0,NAGORNYY Nikita,Men's Horizontal Bar,ROC,Artistic Gymnastics
Gold Medal,1,00:00.0,ZOU Jingyuan,Men's Parallel Bars,People's Republic of China,Artistic Gymnastics
Silver Medal,2,00:00.0,DAUSER Lukas,Men's Parallel Bars,Germany,Artistic Gymnastics
Bronze Medal,3,00:00.0,ARICAN Ferhat,Men's Parallel Bars,Turkey,Artistic Gymnastics
Gold Medal,1,00:00.0,GUAN Chenchen,Women's Balance Beam,People's Republic of China,Artistic Gymnastics
Silver Medal,2,00:00.0,TANG Xijing,Women's Balance Beam,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,00:00.0,BILES Simone,Women's Balance Beam,United States of America,Artistic Gymnastics
Gold Medal,1,00:00.0,WARHOLM Karsten,Men's 400m Hurdles,Norway,Athletics
Silver Medal,2,00:00.0,BENJAMIN Rai,Men's 400m Hurdles,United States of America,Athletics
Bronze Medal,3,00:00.0,dos SANTOS Alison,Men's 400m Hurdles,Brazil,Athletics
Gold Medal,1,00:00.0,DUPLANTIS Armand,Men's Pole Vault,Sweden,Athletics
Silver Medal,2,00:00.0,NILSEN Christopher,Men's Pole Vault,United States of America,Athletics
Bronze Medal,3,00:00.0,BRAZ Thiago,Men's Pole Vault,Brazil,Athletics
Gold Medal,1,00:00.0,THOMPSON-HERAH Elaine,Women's 200m,Jamaica,Athletics
Silver Medal,2,00:00.0,MBOMA Christine,Women's 200m,Namibia,Athletics
Bronze Medal,3,00:00.0,THOMAS Gabrielle,Women's 200m,United States of America,Athletics
Gold Medal,1,00:00.0,MU Athing,Women's 800m,United States of America,Athletics
Silver Medal,2,00:00.0,HODGKINSON Keely,Women's 800m,Great Britain,Athletics
Bronze Medal,3,00:00.0,ROGERS Raevyn,Women's 800m,United States of America,Athletics
Gold Medal,1,00:00.0,WLODARCZYK Anita,Women's Hammer Throw,Poland,Athletics
Silver Medal,2,00:00.0,WANG Zheng,Women's Hammer Throw,People's Republic of China,Athletics
Bronze Medal,3,00:00.0,KOPRON Malwina,Women's Hammer Throw,Poland,Athletics
Gold Medal,1,00:00.0,MIHAMBO Malaika,Women's Long Jump,Germany,Athletics
Silver Medal,2,00:00.0,REESE Brittney,Women's Long Jump,United States of America,Athletics
Bronze Medal,3,00:00.0,BRUME Ese,Women's Long Jump,Nigeria,Athletics
Bronze Medal,3,00:00.0,ALVAREZ Lazaro,Men's Feather (52-57kg),Cuba,Boxing
Bronze Medal,3,00:00.0,TAKYI Samuel,Men's Feather (52-57kg),Ghana,Boxing
Bronze Medal,3,00:00.0,NYIKA David,Men's Heavy (81-91kg),New Zealand,Boxing
Bronze Medal,3,00:00.0,TEIXEIRA Abner,Men's Heavy (81-91kg),Brazil,Boxing
Gold Medal,1,00:00.0,IGLESIAS Roniel,Men's Welter (63-69kg),Cuba,Boxing
Silver Medal,2,00:00.0,McCORMACK Pat,Men's Welter (63-69kg),Great Britain,Boxing
Gold Medal,1,00:00.0,IRIE Sena,Women's Feather (54-57kg),Japan,Boxing
Silver Medal,2,00:00.0,PETECIO Nesthy,Women's Feather (54-57kg),Philippines,Boxing
Gold Medal,1,00:00.0,JORGE ENRIQUEZ Fernando Dayan,Men's Canoe Double 1000m,Cuba,Canoe Sprint
Gold Medal,1,00:00.0,TORRES MADRIGAL Serguey,Men's Canoe Double 1000m,Cuba,Canoe Sprint
Silver Medal,2,00:00.0,LIU Hao,Men's Canoe Double 1000m,People's Republic of China,Canoe Sprint
Silver Medal,2,00:00.0,ZHENG Pengfei,Men's Canoe Double 1000m,People's Republic of China,Canoe Sprint
Bronze Medal,3,00:00.0,HECKER Tim,Men's Canoe Double 1000m,Germany,Canoe Sprint
Bronze Medal,3,00:00.0,BRENDEL Sebastian,Men's Canoe Double 1000m,Germany,Canoe Sprint
Gold Medal,1,00:00.0,KOPASZ Balint,Men's Kayak Single 1000m,Hungary,Canoe Sprint
Silver Medal,2,00:00.0,VARGA Adam,Men's Kayak Single 1000m,Hungary,Canoe Sprint
Bronze Medal,3,00:00.0,PIMENTA Fernando,Men's Kayak Single 1000m,Portugal,Canoe Sprint
Gold Medal,1,00:00.0,CARRINGTON Lisa,Women's Kayak Double 500m,New Zealand,Canoe Sprint
Gold Medal,1,00:00.0,REGAL Caitlin,Women's Kayak Double 500m,New Zealand,Canoe Sprint
Silver Medal,2,00:00.0,PULAWSKA Anna,Women's Kayak Double 500m,Poland,Canoe Sprint
Silver Medal,2,00:00.0,NAJA Karolina,Women's Kayak Double 500m,Poland,Canoe Sprint
Bronze Medal,3,00:00.0,KOZAK Danuta,Women's Kayak Double 500m,Hungary,Canoe Sprint
Bronze Medal,3,00:00.0,BODONYI Dora,Women's Kayak Double 500m,Hungary,Canoe Sprint
Gold Medal,1,00:00.0,CARRINGTON Lisa,Women's Kayak Single 200m,New Zealand,Canoe Sprint
Silver Medal,2,00:00.0,PORTELA Teresa,Women's Kayak Single 200m,Spain,Canoe Sprint
Bronze Medal,3,00:00.0,JORGENSEN Emma Aastrand,Women's Kayak Single 200m,Denmark,Canoe Sprint
Gold Medal,1,00:00.0,van den BERG Roy,Men's Team Sprint,Netherlands,Cycling Track
Gold Medal,1,00:00.0,HOOGLAND Jeffrey,Men's Team Sprint,Netherlands,Cycling Track
Gold Medal,1,00:00.0,BUCHLI Matthijs,Men's Team Sprint,Netherlands,Cycling Track
Gold Medal,1,00:00.0,LAVREYSEN Harrie,Men's Team Sprint,Netherlands,Cycling Track
Silver Medal,2,00:00.0,CARLIN Jack,Men's Team Sprint,Great Britain,Cycling Track
Silver Medal,2,00:00.0,KENNY Jason,Men's Team Sprint,Great Britain,Cycling Track
Silver Medal,2,00:00.0,OWENS Ryan,Men's Team Sprint,Great Britain,Cycling Track
Bronze Medal,3,00:00.0,VIGIER Sebastien,Men's Team Sprint,France,Cycling Track
Bronze Medal,3,00:00.0,HELAL Rayan,Men's Team Sprint,France,Cycling Track
Bronze Medal,3,00:00.0,GRENGBO Florian,Men's Team Sprint,France,Cycling Track
Gold Medal,1,00:00.0,BRENNAUER Lisa,Women's Team Pursuit,Germany,Cycling Track
Gold Medal,1,00:00.0,BRAUSSE Franziska,Women's Team Pursuit,Germany,Cycling Track
Gold Medal,1,00:00.0,KROEGER Mieke,Women's Team Pursuit,Germany,Cycling Track
Gold Medal,1,00:00.0,KLEIN Lisa,Women's Team Pursuit,Germany,Cycling Track
Silver Medal,2,00:00.0,ARCHIBALD Katie,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,00:00.0,BARKER Elinor,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,00:00.0,EVANS Neah,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,00:00.0,KENNY Laura,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,00:00.0,KNIGHT Josie,Women's Team Pursuit,Great Britain,Cycling Track
Bronze Medal,3,00:00.0,WILLIAMS Lily,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,00:00.0,DYGERT Chloe,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,00:00.0,WHITE Emma,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,00:00.0,VALENTE Jennifer,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,00:00.0,JASTRAB Megan,Women's Team Pursuit,United States of America,Cycling Track
Gold Medal,1,00:00.0,XIE Siyi,Men's 3m Springboard,People's Republic of China,Diving
Silver Medal,2,00:00.0,WANG Zongyuan,Men's 3m Springboard,People's Republic of China,Diving
Bronze Medal,3,00:00.0,LAUGHER Jack,Men's 3m Springboard,Great Britain,Diving
Gold Medal,1,00:00.0,SCOTT Giles,Men's One Person Dinghy (Heavyweight) - Finn,Great Britain,Sailing
Silver Medal,2,00:00.0,BERECZ Zsombor,Men's One Person Dinghy (Heavyweight) - Finn,Hungary,Sailing
Bronze Medal,3,00:00.0,CARDONA MENDEZ Joan,Men's One Person Dinghy (Heavyweight) - Finn,Spain,Sailing
Gold Medal,1,00:00.0,BITHELL Stuart,Men's Skiff - 49er,Great Britain,Sailing
Gold Medal,1,00:00.0,FLETCHER Dylan,Men's Skiff - 49er,Great Britain,Sailing
Silver Medal,2,00:00.0,BURLING Peter,Men's Skiff - 49er,New Zealand,Sailing
Silver Medal,2,00:00.0,TUKE Blair,Men's Skiff - 49er,New Zealand,Sailing
Bronze Medal,3,00:00.0,HEIL Erik,Men's Skiff - 49er,Germany,Sailing
Bronze Medal,3,00:00.0,PLOESSEL Thomas,Men's Skiff - 49er,Germany,Sailing
Gold Medal,1,00:00.0,BANTI Caterina,Mixed Multihull - Nacra 17 Foiling,Italy,Sailing
Gold Medal,1,00:00.0,TITA Ruggero,Mixed Multihull - Nacra 17 Foiling,Italy,Sailing
Silver Medal,2,00:00.0,GIMSON John,Mixed Multihull - Nacra 17 Foiling,Great Britain,Sailing
Silver Medal,2,00:00.0,BURNET Anna,Mixed Multihull - Nacra 17 Foiling,Great Britain,Sailing
Bronze Medal,3,00:00.0,STUHLEMMER Alica,Mixed Multihull - Nacra 17 Foiling,Germany,Sailing
Bronze Medal,3,00:00.0,KOHLHOFF Paul,Mixed Multihull - Nacra 17 Foiling,Germany,Sailing
Gold Medal,1,00:00.0,KUNZE Kahena,Women's Skiff - 49er FX,Brazil,Sailing
Gold Medal,1,00:00.0,GRAEL Martine,Women's Skiff - 49er FX,Brazil,Sailing
Silver Medal,2,00:00.0,BEUCKE Susann,Women's Skiff - 49er FX,Germany,Sailing
Silver Medal,2,00:00.0,LUTZ Tina,Women's Skiff - 49er FX,Germany,Sailing
Bronze Medal,3,00:00.0,BEKKERING Annemiek,Women's Skiff - 49er FX,Netherlands,Sailing
Bronze Medal,3,00:00.0,DUETZ Annette,Women's Skiff - 49er FX,Netherlands,Sailing
Gold Medal,1,00:00.0,DJURAEV Akbar,Men's 109kg,Uzbekistan,Weightlifting
Silver Medal,2,00:00.0,MARTIROSYAN Simon,Men's 109kg,Armenia,Weightlifting
Bronze Medal,3,00:00.0,PLESNIEKS Arturs,Men's 109kg,Latvia,Weightlifting
Gold Medal,1,00:00.0,LORINCZ Tamas,Men's Greco-Roman 77kg,Hungary,Wrestling
Silver Medal,2,00:00.0,MAKHMUDOV Akzhol,Men's Greco-Roman 77kg,Kyrgyzstan,Wrestling
Bronze Medal,3,00:00.0,HUSEYNOV Rafig,Men's Greco-Roman 77kg,Azerbaijan,Wrestling
Bronze Medal,3,00:00.0,YABIKU Shohei,Men's Greco-Roman 77kg,Japan,Wrestling
Gold Medal,1,00:00.0,EVLOEV Musa,Men's Greco-Roman 97kg,ROC,Wrestling
Silver Medal,2,00:00.0,ALEKSANYAN Artur,Men's Greco-Roman 97kg,Armenia,Wrestling
Bronze Medal,3,00:00.0,MICHALIK Tadeusz,Men's Greco-Roman 97kg,Poland,Wrestling
Bronze Medal,3,00:00.0,SARAVI Mohammadhadi,Men's Greco-Roman 97kg,Islamic Republic of Iran,Wrestling
Gold Medal,1,00:00.0,MENSAH STOCK Tamyra Mariama,Women's Freestyle 68kg,United States of America,Wrestling
Silver Medal,2,00:00.0,OBORUDUDU Blessing,Women's Freestyle 68kg,Nigeria,Wrestling
Bronze Medal,3,00:00.0,CHERKASOVA Alla,Women's Freestyle 68kg,Ukraine,Wrestling
Bronze Medal,3,00:00.0,ZHUMANAZAROVA Meerim,Women's Freestyle 68kg,Kyrgyzstan,Wrestling
Gold Medal,1,00:00.0,KOLESNICHENKO Svetlana,Duet,ROC,Artistic Swimming
Gold Medal,1,00:00.0,ROMASHINA Svetlana,Duet,ROC,Artistic Swimming
Silver Medal,2,00:00.0,HUANG Xuechen,Duet,People's Republic of China,Artistic Swimming
Silver Medal,2,00:00.0,SUN Wenyan,Duet,People's Republic of China,Artistic Swimming
Bronze Medal,3,00:00.0,SAVCHUK Anastasiya,Duet,Ukraine,Artistic Swimming
Bronze Medal,3,00:00.0,FIEDINA Marta,Duet,Ukraine,Artistic Swimming
Gold Medal,1,00:00.0,de GRASSE Andre,Men's 200m,Canada,Athletics
Silver Medal,2,00:00.0,BEDNAREK Kenneth,Men's 200m,United States of America,Athletics
Bronze Medal,3,00:00.0,LYLES Noah,Men's 200m,United States of America,Athletics
Gold Medal,1,00:00.0,KORIR Emmanuel Kipkurui,Men's 800m,Kenya,Athletics
Silver Medal,2,00:00.0,ROTICH Ferguson Cheruiyot,Men's 800m,Kenya,Athletics
Bronze Medal,3,00:00.0,DOBEK Patryk,Men's 800m,Poland,Athletics
Gold Medal,1,00:00.0,WARNER Damian,Men's Decathlon,Canada,Athletics
Silver Medal,2,00:00.0,MAYER Kevin,Men's Decathlon,France,Athletics
Bronze Medal,3,00:00.0,MOLONEY Ashley,Men's Decathlon,Australia,Athletics
Gold Medal,1,00:00.0,NOWICKI Wojciech,Men's Hammer Throw,Poland,Athletics
Silver Medal,2,00:00.0,HENRIKSEN Eivind,Men's Hammer Throw,Norway,Athletics
Bronze Medal,3,00:00.0,FAJDEK Pawel,Men's Hammer Throw,Poland,Athletics
Gold Medal,1,00:00.0,CHEMUTAI Peruth,Women's 3000m Steeplechase,Uganda,Athletics
Silver Medal,2,00:00.0,FRERICHS Courtney,Women's 3000m Steeplechase,United States of America,Athletics
Bronze Medal,3,00:00.0,KIYENG Hyvin,Women's 3000m Steeplechase,Kenya,Athletics
Gold Medal,1,00:00.0,McLAUGHLIN Sydney,Women's 400m Hurdles,United States of America,Athletics
Silver Medal,2,00:00.0,MUHAMMAD Dalilah,Women's 400m Hurdles,United States of America,Athletics
Bronze Medal,3,00:00.0,BOL Femke,Women's 400m Hurdles,Netherlands,Athletics
Gold Medal,1,00:00.0,THIAM Nafissatou,Women's Heptathlon,Belgium,Athletics
Silver Medal,2,00:00.0,VETTER Anouk,Women's Heptathlon,Netherlands,Athletics
Bronze Medal,3,00:00.0,OOSTERWEGEL Emma,Women's Heptathlon,Netherlands,Athletics
Gold Medal,1,00:00.0,LOPEZ Arlen,Men's Light Heavy (75-81kg),Cuba,Boxing
Silver Medal,2,00:00.0,WHITTAKER Benjamin,Men's Light Heavy (75-81kg),Great Britain,Boxing
Bronze Medal,3,00:00.0,KUNKABAYEV Kamshybek,Men's Super Heavy (+91kg),Kazakhstan,Boxing
Bronze Medal,3,00:00.0,CLARKE Frazer,Men's Super Heavy (+91kg),Great Britain,Boxing
Bronze Medal,3,00:00.0,HUANG Hsiao-Wen,Women's Fly (48-51kg),Chinese Taipei,Boxing
Bronze Medal,3,00:00.0,NAMIKI Tsukimi,Women's Fly (48-51kg),Japan,Boxing
Bronze Medal,3,00:00.0,BORGOHAIN Lovlina,Women's Welter (64-69kg),India,Boxing
Bronze Medal,3,00:00.0,JONES Oshae,Women's Welter (64-69kg),United States of America,Boxing
Gold Medal,1,00:00.0,CONSONNI Simone,Men's Team Pursuit,Italy,Cycling Track
